id,section,code,description,values,default,checkall,help,depends
code_01,Participants,N_participants_recruited,How many **total participants** were recruited?,,,,"This is before any filtering based on speed, comprehension, etc.",
code_02,Participants,N_participants_after_filtering,How many participants were included in the **final analysis after filtering**?,,,,"This is usually the same as above (or not reported). In some cases participants may be excluded post-test for taking too long or failing comprehension questions. If not mentioned, we can assume no participants were excluded, but code this as **""Not reported""**.",
code_03,Participants,N_participants_per_item,How many participants judged each individual item in the experiment?,,,,"For a given item, how many participants saw that item? Every participant may not see every item. This can sometimes be difficult to determine.",
code_04,Participants,part_profile,What was the **population** that participants were sampled from?,Linguists (students or otherwise); Students (non-linguists); Students (unspecified); Other non-students; Mixed; Not Reported,Not Reported,,"This can include any type of participants, but often it will be (non-linguist) students or non-student adults. ",
code_05,Participants,part_recruitment,How were participants **recruited**?,University affiliation; Online platform; Advertisement / Word of mouth; Personal network; Mixed; Not Reported,Not Reported,,"Online platforms can include specific recruitment platforms such as Mechanical Turk or Prolific, Twitter / X, or any other social media site, forum or bespoke app.  ",
code_06,Participants,compensation,How were participants **compensated**?,Paid directly; University credit; Other incentive; Mixed; Not compensated; Not Reported,Not Reported,,"Online platforms like Mechanical Turk and Prolific pay their users directly. Credit is for students who received grades or course credits. ""Unclear"" is for cases where authors say they compensated participants but do not specify how.",
code_07,Participants,demographics_reported,Which participant **demographics** were reported (check all that apply)?,Gender / Sex; Age; Education; Region; Language background; Other; Not Reported,,yes,"We assume all participants are native speakers of the language being investigated. ""Language background"" is for information about specific dialect information or for when the study mentions mono- or multilingual background.",
code_08,Experimental Design,language,What **language** was the study investigating (be as specific as possible)?,,Not Reported,,If possible include the terminology or level of granularity used by authors.,
code_09,Experimental Design,N_experiments,How many **total individual experiments** did the paper report?,,1,,"This defaults to 1, but many papers report more than one experiment. This can be tricky. When unsure, consider carefully the design of the study. If participants' ratings were collected and analyzed as a single dataset, even if collected across different experimental blocks, it should count as a single experiment. ",
code_10,Experimental Design,experiment_num_orig,What number (out of the total number of experiments) is this experiment? [*Remember to adjust counter at the top of the form if necessary.*],,1,,"Use values **as described by the authors**, e.g. 1, 2a, 2b, 3",
