article_index,experiment_number,author,year,title,journal,url,searchterms,N_participants_recruited,N_participants_after_filtering,N_participants_per_item,part_profile,part_recruitment,compensation,demographics_reported,language,N_experiments,experiment_num_orig,N_conditions,N_conditions_reported,N_items_per_condition,design_type,between_subj_condition,balanced_items,exp_blocking,randomization,N_trials_per_participant,N_pre-test,N_post-test,multiple_tasks,confidence_design,N_target_items,N_target_items_per_participant,N_fillers,N_items_reported,linguistic_phenomenon,item_construction,item_balance,item_plausibility,contextualization,confidence_stimuli,instructions,rating_terminology,response_scale,response_levels,response_comparison,presentation_modality,task_review,task_timing,delivery_format,task_duration,task_supervision,pilot_testing,confidence,breaks,comprehension,confidence_task,stat_scale,preprocessing,software,statistical_test,bayesian,random_effects,effect_sizes,sig_threshold,mult_comp_correction,power_analysis,autocorr,propensity,other_instr,other_instr_type,confidence_analysis,item_avail,item_repository,data_avail,data_repository,preregistration,prereg_repository,corresp_author,coder_comments,coder_id
"Frisch, Zawaydeh_2001_the_psychological_reality",1,Stefan A. Frisch; Bushra Adnan Zawaydeh,2001.0,The Psychological Reality of OCP-Place in Arabic,Language,https://doi.org/10.1353/lan.2001.0014,acceptability rating; grammaticality rating,30,,,Not Reported,Not Reported,Not Reported,Age; Region; Education; Language background,Jordanian Arabic,1,1,6 + 2 + 3 = 11?,No,Mixed,Within-subjects,,Yes,Intermixed,Fixed,254,0,0,Not Reported,Slightly confident,254,254,Not Reported,Yes,Phonology,Fully Constructed,Frequency,Not Reported,Not Reported,Fairly confident,"The first page of the questionnaire provided instructions to judge each ‘made up verb’ using a
1–7 scale based on how much the verb sounded like a possible verb of Arabic.",naturalness,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,sfrisch@umich.edu,"The design is odd, in that it is testing three different questions, each with it's own set of conditions) in one survey. The number of items per condition thus varied. Also the reported number of items in Stimulus set I (160) does not match the description of 20 verbs for each of six conditions (120). ",JG
Shimojo_1997_the_role_of,1,Mitsuaki Shimojo,1997.0,The role of the general category in the maintenance of numeral-classifier systems: the case of tsu and ko in Japanese,Linguistics,https://doi.org/10.1515/ling.1997.35.4.705,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,102,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Language background,Japanese,2,1,10?,No,Not Reported,Within-subjects,,Not Reported,Not Reported,Not Reported,Not Reported,0,0,Not Reported,Fairly confident,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Not Reported,acceptability,Ordinal (Likert),5,Isolation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,Descriptive only,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,,,JG
Albright_2002_islands_of_reliability,1,Adam Albright,2002.0,Islands of Reliability for Regular Morphology: Evidence from Italian,Language,https://doi.org/10.1353/lan.2003.0002,acceptability rating; linguistic intuition rating,27,27,27,Not Reported,Not Reported,Paid directly,Region; Education,Not Reported,1,1,4,Yes,44,Within-subjects,,Yes,Intermixed,Fixed,54*5 = 270,0,0,Not Reported,Slightly confident,44*5 = 220,220,10*5 = 50,Yes,Phonology,Fully Constructed,Frequency,Not Reported,Not Reported,Slightly confident,Not Reported,acceptability,Ordinal (Likert),7,Other baseline,Mixed,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Continuous,Not Reported,Not Reported,Other,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,albright@ling.ucsc.edu,Calculating the number of trials is hard; The task uses a baseline but is not a magnitude estimation task per se,JG
Dąbrowska_1997_the_lad_goes,1,Ewa Dąbrowska,1997.0,The LAD goes to school: a cautionary tale for nativists,Linguistics,https://doi.org/10.1515/ling.1997.35.4.735,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; sentence judgement; sentence judgment; syntactic judgement; syntactic judgment,50,50,50,Mixed,University affiliation,Not Reported,Education; Region,English,1,1,4,Yes,4,Within-subjects,,Not Reported,Not Reported,Not Reported,20,0,0,Not Reported,Fairly confident,20,20,4,Yes,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Not Reported,Not Reported,Not Reported,,Isolation,Mixed,Yes,Self-paced,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,,Exclude; Not an AJ task,JG
"Bader, Frazier_2005_interpretation_of_leftwardmoved",1,Markus Bader; Lyn Frazier,2005.0,Interpretation of Leftward-Moved Constituents: Processing Topicalizations in German,Linguistics,https://doi.org/10.1515/ling.2005.43.1.49,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,32,32,(32 participants * 16 trials)/64 items = 8?,Not Reported,University affiliation,Not Reported,Not Reported,German,5,1,4,Yes,16,Within-subjects,,Yes,Intermixed,Semi-random,60,0,0,Not Reported,Fairly confident,64,16,44,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Participants’ task was to read each sentence and rate its difficulty by circling one of the
possible numbers.",difficulty,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,bader@em.uni-frankfurt.de,Instructions unclear; used difficulty rating,JG
"Bader, Frazier_2005_interpretation_of_leftwardmoved",2,Markus Bader; Lyn Frazier,2005.0,Interpretation of Leftward-Moved Constituents: Processing Topicalizations in German,Linguistics,https://doi.org/10.1515/ling.2005.43.1.49,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,32,32,(24 participants * 24 trials)/144 items = 4?,Not Reported,University affiliation,Not Reported,Not Reported,German,5,2,6,Yes,24,Within-subjects,,Yes,Intermixed,Semi-random,72,0,0,Not Reported,Fairly confident,144,24,48,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Participants’ task was to read each sentence and rate its difficulty by circling one of the
possible numbers.",difficulty,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,bader@em.uni-frankfurt.de,Instructions unclear; used difficulty rating,JG
"Bader, Frazier_2005_interpretation_of_leftwardmoved",3,Markus Bader; Lyn Frazier,2005.0,Interpretation of Leftward-Moved Constituents: Processing Topicalizations in German,Linguistics,https://doi.org/10.1515/ling.2005.43.1.49,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,32,32,Not Reported,Not Reported,University affiliation,Not Reported,Not Reported,German,5,3,3,Yes,12,Within-subjects,,Yes,Intermixed,Semi-random,60,0,0,Not Reported,Slightly confident,36,12,48,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Participants’ task was to read each sentence and rate its difficulty by circling one of the
possible numbers.",difficulty,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,bader@em.uni-frankfurt.de,Instructions unclear; Items were included as fillers for Exp 1; Participants per item calculation does not give an even number: (32 participants * 12 trials)/36 items = 10.66,JG
"Mattiello, Dressler_2022_dualism_and_superposition",1,Elisa Mattiello; Wolfgang U. Dressler,2022.0,Dualism and superposition in the analysis of English synthetic compounds ending in -er,Linguistics,https://doi.org/10.1515/ling-2021-0235,acceptability rating,52,52,26,Not Reported,Not Reported,Not Reported,Region,English,1,1,2,Yes,24,Between-subjects,compound vs. derivation,Not Reported,Not Reported,Not Reported,Not Reported,0,0,Not Reported,Fairly confident,48,24,Not Reported,No,Morphology,Not Reported,Not Reported,Yes,Not Reported,Fairly confident,Each group was submitted a series of SCs along with a definition which presupposed either a derivational or a compositional analysis.,Not Reported,Ordinal (Likert),4,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Not Reported,Not Reported,Descriptive only,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Very confident,Not Reported,,Public Repository,https://zenodo.org/records/4606729,Not Reported,,elisa.mattiello@unipi.it,Not strictly an acceptability study; No. of fillers not given,jg
"Bîlbîie, Fuente, Abeillé_2023_factivity_and_complementizer",1,Gabriela Bîlbîie; Israel De La Fuente; Anne Abeillé,2023.0,Factivity and complementizer omission in English embedded gapping,JoLinguistics,https://doi.org/10.1017/S0022226722000445,Likert scale; acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naïve rating; sentence judgement; sentence judgment; syntactic judgement; syntactic judgment,51,50,51,Not Reported,Not Reported,Not Reported,Gender / Sex; Age,English,3,1,4,Yes,20,Within-subjects,,Yes,Blocks,Not Reported,100,Unspecified,0,Not Reported,Fairly confident,80,80,20,No,Syntax,Fully Constructed,Frequency,Not Reported,Not Reported,Fairly confident," They were instructed to read the sentences carefully and to judge their acceptability by using a Likert scale, from 1 (completely unacceptable) to 7 (completely acceptable).",acceptability,Ordinal (Likert),7,Isolation,Written,No,Not Reported,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Fairly confident,Continuous,Not Reported,R,Mixed-Effects Regression,No,Items; Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,gabriela.bilbiie@lls.unibuc.ro,,JG
"Bîlbîie, Fuente, Abeillé_2023_factivity_and_complementizer",2,Gabriela Bîlbîie; Israel De La Fuente; Anne Abeillé,2023.0,Factivity and complementizer omission in English embedded gapping,JoLinguistics,https://doi.org/10.1017/S0022226722000445,Likert scale; acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naïve rating; sentence judgement; sentence judgment; syntactic judgement; syntactic judgment,47,47,47,Not Reported,Not Reported,Not Reported,Gender / Sex; Age,Not Reported,3,2,4,Yes,20,Within-subjects,,Yes,Blocks,Not Reported,108,Unspecified,0,Not Reported,Fairly confident,80,80,28,No,Syntax,Fully Constructed,Frequency,Not Reported,Not Reported,Fairly confident," They were instructed to read the sentences carefully and to judge their acceptability by using a Likert scale, from 1 (completely unacceptable) to 7 (completely acceptable).",acceptability,Ordinal (Likert),7,Isolation,Written,No,Not Reported,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Fairly confident,Continuous,Not Reported,R,Mixed-Effects Regression,No,Items; Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,gabriela.bilbiie@lls.unibuc.ro,,JG
